variety,points,price,n,colour,r,theta,apple,balanced,berry,blackberry,bright,cherry,chocolate,crisp,dark,delicious,dry,earthy,elegant,floral,fresh,fruity,herb,juicy,leather,licorice,light,lively,mineral,oak,pepper,plum,raspberry,refreshing,rich,ripe,savory,smooth,soft,solid,spice,sweet,tannic,tart,tobacco,vanilla
Rhone White,88.47294118,32.45215311,425,white,310,324,9.695290859,2.354570637,0.138504155,0,1.800554017,0.138504155,0.27700831,7.202216066,0,1.523545706,3.185595568,0.138504155,1.108033241,3.185595568,7.479224377,3.185595568,0.831024931,0.415512465,0,0.138504155,6.509695291,0.692520776,0.692520776,5.540166205,1.246537396,0.415512465,0,4.155124654,6.648199446,8.864265928,0.55401662,0.692520776,3.878116343,0.969529086,4.155124654,4.293628809,0.415512465,1.662049861,0.415512465,5.40166205
Riesling,89.44440169,31.96325301,5198,white,120,153,9.100665379,2.919081348,0.221792946,0,3.212420405,0.550905058,0.014309222,4.435858911,0.271875224,1.602632897,12.19861201,1.645560564,1.752879731,2.690133791,8.041782929,3.970809187,0.965872505,3.935036131,0,0.042927667,2.911926737,1.094655505,5.17993847,0.150246834,0.257566001,0.829934893,0.0643915,3.069328182,3.276811905,7.533805538,2.539886957,0.457895113,1.531086785,0.200329112,2.897617514,6.539314588,0,3.441367962,0.007154611,0.443585891
Sauvignon Blanc,87.42963559,20.22851767,4967,white,120,0,7.246241479,2.745354375,0.093379401,0,3.828555421,0.0466897,0.00933794,10.5145205,0.093379401,1.260621907,4.715659725,0.401531422,1.036511346,1.269959847,8.021290503,3.146885797,1.86758801,1.93295359,0,0.0466897,4.958446167,2.493229993,2.773368195,3.576431039,3.016154636,0.681669624,0,3.585768979,4.388831824,8.208049304,1.157904566,1.232608087,3.286954898,0.728359324,1.727518909,3.361658418,0.00933794,3.193575497,0.102717341,3.240265197
Sparkling Blend,88.04505341,29.61124815,2153,white,220,210,15.40515075,1.476130653,1.30339196,0,3.266331658,2.010050251,0.204145729,6.092964824,0.282663317,1.75879397,8.684045226,0.628140704,2.858040201,1.350502513,8.275753769,2.889447236,0.659547739,0.879396985,0.015703518,0.047110553,4.208542714,2.873743719,1.114949749,0.45540201,0.84798995,0.97361809,2.434045226,2.15138191,3.658919598,4.381281407,0.706658291,1.884422111,3.266331658,0.942211055,1.915829146,4.412688442,0.031407035,1.978643216,0,3.674623116
Viognier,87.77108434,26.0893401,996,white,310,90,7.045009785,3.277886497,0.048923679,0,2.495107632,0.146771037,0.146771037,5.528375734,0.244618395,1.761252446,4.794520548,0.146771037,1.272015656,4.060665362,5.430528376,1.908023483,0.684931507,1.859099804,0,0,6.26223092,1.663405088,1.418786693,5.332681018,1.320939335,0.146771037,0.097847358,1.663405088,7.191780822,8.904109589,0.782778865,1.418786693,3.13111546,0.587084149,4.256360078,5.675146771,0.146771037,2.1037182,0.048923679,6.996086106
Aglianico,89.27576602,38.8877551,359,red,310,0,0.536033353,0.476474092,4.645622394,6.015485408,1.667659321,10.36331149,2.561048243,0.476474092,5.419892793,1.250744491,0.238237046,0.893388922,2.02501489,0.178677784,1.072066706,0.119118523,1.60810006,1.60810006,5.002977963,5.241215009,0.536033353,0.059559261,2.203692674,3.037522335,3.930911257,5.181655747,2.620607504,0.178677784,1.250744491,4.943418702,0.655151876,1.548540798,1.131625968,0.893388922,9.827278142,1.548540798,1.072066706,0.297796307,4.645622394,3.037522335
Barbera,87.78254848,26.10517799,722,red,310,162,0.225588141,0.870125685,6.123106671,5.478569127,5.0918466,10.95713825,1.772478247,1.417982597,2.868192072,0.773445053,1.224621334,1.192394457,0.418949404,0.354495649,4.157267161,0.966806316,0.708991299,2.803738318,0.902352562,2.932645827,1.482436352,0.934579439,0.58008379,3.609410248,3.480502739,4.221720915,3.834998389,0.354495649,2.094747019,4.479535933,1.514663229,2.513696423,2.384788914,0.354495649,7.122139865,1.998066387,1.031260071,1.901385756,2.223654528,2.642603932
Bordeaux Red,89.10643529,47.21086142,6915,red,120,102,0.014237578,2.80480281,4.076693085,4.817047126,1.642067296,3.768212235,2.700393906,1.186464809,5.182478288,1.570879408,5.305870628,0.389160458,1.082055906,0.237292962,3.54990271,3.991267619,1.290873713,5.808931707,0.602724123,1.143752076,1.979023302,0.488823501,0.536282094,2.235299701,1.015613877,2.942432727,0.816287789,0.085425466,6.890987613,10.66394571,0.56001139,2.159365953,3.725499502,2.61496844,4.309240188,2.425134071,2.577001566,0.650182716,0.958663566,1.200702387
Cabernet Franc,88.15077605,34.83678161,1353,red,220,0,0.160868691,1.809772773,3.519002614,3.076613714,1.890207118,11.64287151,2.815202091,1.286949527,3.177156646,0.723909109,2.6543334,1.286949527,1.407601046,0.623366177,2.815202091,2.030967223,3.0967223,2.191835914,1.005429318,1.126080837,2.734767746,0.563040418,0.542931832,4.242911723,3.297808164,4.04182586,2.513573296,0.341845968,3.478785441,5.630404183,2.030967223,1.286949527,3.699979891,0.623366177,4.886386487,2.533681882,2.594007641,2.332596018,1.789664187,2.493464709
Cabernet Sauvignon,88.60758024,47.94001705,9472,red,120,51,0.042850147,1.429358472,3.825905975,7.348800196,0.90291381,8.839373164,4.560479922,0.584598433,3.929970617,0.961067581,4.254407444,1.331415279,1.212047013,0.361165524,1.472208619,0.954946131,2.512855044,1.637487757,1.407933399,1.67115573,1.221229187,0.449926543,0.321376102,7.768119491,2.188418217,4.306439765,1.698702253,0.061214496,4.141160627,4.588026445,1.156953967,1.80582762,4.055460333,0.90903526,3.216821743,3.492286974,3.339250735,1.135528893,2.237389814,2.665891283
