"variety","country","nn"
"Nebbiolo","Argentina",4
"Nebbiolo","Italy",2736
"Nebbiolo","Mexico",6
"Nebbiolo","US",58
"Nero d'Avola","Italy",361
"Nero d'Avola","US",4
"Petite Sirah","Australia",6
"Petite Sirah","Chile",4
"Petite Sirah","Israel",10
"Petite Sirah","Mexico",3
"Petite Sirah","US",747
"Pinot Blanc","Austria",32
"Pinot Blanc","France",192
"Pinot Blanc","Germany",22
"Pinot Blanc","Italy",154
"Pinot Blanc","US",196
"Pinot Gris","Argentina",36
"Pinot Gris","Australia",42
"Pinot Gris","Austria",15
"Pinot Gris","Bulgaria",1
"Pinot Gris","Canada",4
"Pinot Gris","Chile",5
"Pinot Gris","Croatia",1
"Pinot Gris","France",458
"Pinot Gris","Germany",14
"Pinot Gris","Hungary",1
"Pinot Gris","Israel",1
"Pinot Gris","Italy",605
"Pinot Gris","Moldova",5
"Pinot Gris","New Zealand",65
"Pinot Gris","Romania",13
"Pinot Gris","Slovenia",9
"Pinot Gris","US",1229
"Pinot Gris",NA,3
"Pinot Noir","Argentina",105
"Pinot Noir","Australia",132
"Pinot Noir","Austria",99
"Pinot Noir","Brazil",2
"Pinot Noir","Bulgaria",15
"Pinot Noir","Canada",23
"Pinot Noir","Chile",363
"Pinot Noir","Croatia",1
"Pinot Noir","England",7
"Pinot Noir","France",1966
"Pinot Noir","Germany",55
"Pinot Noir","Hungary",1
"Pinot Noir","Israel",7
"Pinot Noir","Italy",186
"Pinot Noir","Macedonia",3
"Pinot Noir","New Zealand",509
"Pinot Noir","Portugal",19
"Pinot Noir","Romania",15
"Pinot Noir","Slovenia",7
"Pinot Noir","South Africa",30
"Pinot Noir","Spain",11
"Pinot Noir","Switzerland",3
"Pinot Noir","US",9886
"Pinot Noir","Uruguay",5
"Pinot Noir",NA,3
"Port","Australia",1
"Port","Portugal",607
"Port","US",60
"Portuguese Red","Portugal",2466
"Portuguese White","Portugal",1159
"Rhone Red","Australia",12
"Rhone Red","Chile",1
"Rhone Red","France",741
"Rhone Red","Israel",3
"Rhone Red","Lebanon",1
"Rhone Red","Portugal",3
"Rhone Red","South Africa",14
"Rhone Red","Spain",2
"Rhone Red","US",693
"Rhone Red",NA,1
"Rhone White","Australia",5
"Rhone White","Canada",3
"Rhone White","Chile",1
"Rhone White","France",197
"Rhone White","Israel",2
"Rhone White","US",217
"Riesling","Argentina",2
"Riesling","Australia",151
"Riesling","Austria",581
"Riesling","Bulgaria",3
"Riesling","Canada",54
"Riesling","Chile",24
"Riesling","Czech Republic",1
"Riesling","France",718
"Riesling","Germany",1790
"Riesling","Israel",1
"Riesling","Italy",24
"Riesling","Luxembourg",2
"Riesling","Moldova",1
"Riesling","New Zealand",57
"Riesling","Portugal",4
"Riesling","Romania",4
"Riesling","Serbia",3
"Riesling","Slovakia",1
"Riesling","Slovenia",4
"Riesling","South Africa",8
"Riesling","Spain",1
"Riesling","US",1762
"Riesling","Ukraine",1
"Riesling",NA,1
"Sangiovese","Argentina",2
"Sangiovese","Australia",6
"Sangiovese","Israel",1
"Sangiovese","Italy",2265
"Sangiovese","US",433
"Sangiovese Grosso","Italy",750
"Sangiovese Grosso","US",1
"Sauvignon Blanc","Argentina",78
"Sauvignon Blanc","Australia",52
"Sauvignon Blanc","Austria",128
"Sauvignon Blanc","Bulgaria",12
"Sauvignon Blanc","Canada",10
"Sauvignon Blanc","Chile",683
"Sauvignon Blanc","Croatia",1
"Sauvignon Blanc","Czech Republic",2
"Sauvignon Blanc","France",933
"Sauvignon Blanc","Greece",6
"Sauvignon Blanc","India",2
"Sauvignon Blanc","Israel",18
"Sauvignon Blanc","Italy",49
"Sauvignon Blanc","Mexico",7
"Sauvignon Blanc","Moldova",3
"Sauvignon Blanc","Morocco",5
"Sauvignon Blanc","New Zealand",547
"Sauvignon Blanc","Peru",1
"Sauvignon Blanc","Portugal",25
"Sauvignon Blanc","Romania",15
"Sauvignon Blanc","Slovenia",9
"Sauvignon Blanc","South Africa",179
"Sauvignon Blanc","Spain",33
"Sauvignon Blanc","Turkey",1
"Sauvignon Blanc","US",2163
"Sauvignon Blanc","Uruguay",1
"Sauvignon Blanc",NA,4
"Sparkling Blend","Argentina",29
"Sparkling Blend","Australia",33
"Sparkling Blend","Austria",53
"Sparkling Blend","Brazil",8
"Sparkling Blend","Chile",14
"Sparkling Blend","England",47
"Sparkling Blend","France",383
"Sparkling Blend","Georgia",3
"Sparkling Blend","Germany",14
"Sparkling Blend","Hungary",3
"Sparkling Blend","Israel",2
"Sparkling Blend","Italy",348
"Sparkling Blend","Luxembourg",2
"Sparkling Blend","Moldova",1
"Sparkling Blend","New Zealand",10
"Sparkling Blend","Peru",1
"Sparkling Blend","Portugal",9
"Sparkling Blend","South Africa",12
"Sparkling Blend","Spain",497
"Sparkling Blend","US",678
"Sparkling Blend","Ukraine",6
"Syrah","Argentina",65
"Syrah","Australia",636
"Syrah","Austria",2
"Syrah","Bulgaria",3
"Syrah","Canada",14
"Syrah","Chile",296
"Syrah","France",166
"Syrah","Greece",6
"Syrah","Hungary",2
"Syrah","India",4
"Syrah","Israel",48
"Syrah","Italy",152
"Syrah","Mexico",2
"Syrah","Morocco",4
"Syrah","New Zealand",45
"Syrah","Peru",1
"Syrah","Portugal",52
"Syrah","South Africa",145
"Syrah","Spain",37
"Syrah","Turkey",6
"Syrah","US",3291
"Syrah",NA,1
"Tempranillo","Argentina",20
"Tempranillo","Australia",3
"Tempranillo","Chile",2
"Tempranillo","Israel",2
"Tempranillo","Italy",6
"Tempranillo","Mexico",2
"Tempranillo","Spain",2011
"Tempranillo","US",351
"Tempranillo",NA,1
"Viognier","Argentina",21
"Viognier","Australia",33
"Viognier","Bulgaria",3
"Viognier","Canada",2
"Viognier","Chile",23
"Viognier","France",66
"Viognier","Greece",5
"Viognier","Israel",5
"Viognier","Italy",13
"Viognier","Portugal",15
"Viognier","South Africa",20
"Viognier","US",790
"Zinfandel","Australia",3
"Zinfandel","US",2711
